;PIB par capita;Vitesse de téléchargement (Mb/s) moyenne;Litres d'alcool consommé par an, par capita chez 15+;Homicide volontaire par 100k personnes;%PIB dépensé dans le militaire;Indice de développement humain;Indice de démocratie;% d'éducation tertiare de 2 ans atteint;% d'importance de la religion;% de chrétiens;% de musulmans;% de bouddhistes;% de juifs;Mortalité en dessous de 5 ans (mort/1k naissance);Age de responsabilité criminelle;Salaire minimum annuel;Dette externe en % de PIB;Indice de Gini en %;Dépense en santé par capita;Taux de suicide;Taux de fertilité;Consommateur de tabac chez 15+;Taux d'obésité;Taux d'utilisateur d'Internet;Age médian;Score de liberté économique;Production de pétrole;Taux de croissance de population;Espérance de vie;Consommation de viande en kg par capita;Taux d'incarcération par 100k;Taux d'alphabétisation;Age de premier marriage;Dépense en éducation, % du PIB;Taux d'itinérance par 100k;Consommation de lait par capita;Nombre d'articles scientifique par capita;Livres publiés par année;Consommation de nourriture en kilocalories;Température annuelle moyenne
count;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0;149.0
mean;14880.79865771812;94.04326449653702;6.537192579070859;6.123822728939588;0.047625135164058745;0.7350097349591534;5.578691372602919;31.886239166299802;0.7251080867325665;0.5155223769822126;26.998154362416106;0.17601688684800826;0.6624076828086133;25.373154362416102;12.128791161767392;5596.897708428926;87.65326935524436;37.601948522819676;3905.30732446938;9.963758389261747;2.5037583892617454;952.8335570469798;18.900671140939597;0.5815637583892617;31.25608013391548;61.673014264476606;17624.25870115156;1.2190238377596594;71.89060402684564;46.07933387417559;155.2333997100058;63.718707965808605;25.228859060402687;4.527928569538088;188.45041367442388;122.9730184610549;915.0335570469799;16129.138520196837;2909.6879364135684;17.636168428332848
std;20476.883269486112;45.79073845333824;4.0755104630358625;9.128459637548822;0.005992397207384731;0.1528384215879785;2.193359570080263;7.203051802631859;0.2294799856580339;0.34415182465002037;36.43743708143932;0.08993767842054845;4.893922658694843;27.59594964128594;2.6989384674146257;7107.274692371809;117.39918101718209;7.77754508718464;1041.9778865806986;8.615724270076578;1.1994832651571188;836.6581885943575;8.853953893404142;0.28201400008729804;9.168492510700704;10.284284690103963;54697.93909083718;1.0892013040324016;7.706686656876675;33.2631784214348;104.87037773095722;28.0943937490791;4.4250865818680705;1.63669857648001;442.6538600899718;92.99317714706409;1291.5408533582447;40082.16741418233;463.3171535812416;8.31533764560526
min;286.0;36.02;0.0;0.2;0.035;0.394;1.32;7.0;0.14;0.0001;0.01;-0.0016118983902593254;-3.6609910663726595;2.0;0.0;-651.2316105018308;1.0;23.2;1117.0;0.3;0.84;25.3;2.1;0.035;14.8;25.9;-53475.36284085011;-1.03;52.5;3.1;10.0;3.7;15.5;1.2;-680.0269474568593;2.92;2.0;-14178.372052613006;1786.0;-5.35
50%;6035.0;83.84582891284249;6.6;2.4;0.04706681603338509;0.758;5.9;32.23442858764688;0.79;0.636289585803056;5.8;0.1665929635919554;0.014;13.9;13.0;2835.0;55.0;36.1;3869.314086920848;8.3;2.14;744.1;20.8;0.655;30.8;60.8;2596.0;1.13;72.5;39.1;128.0;69.58755701609061;25.0;4.3;59.66850108565154;113.31;296.0;3231.0;2892.0;20.2
max;117182.0;245.5;15.2;44.7;0.08800000000000001;0.962;9.81;54.0;1.0014415518071005;0.98;100.0;0.935;43.0;117.2;18.0;32103.0;849.0;63.0;10856.0;87.5;6.74;6330.9;37.9;1.0070000000000001;48.6;89.4;465768.0;4.26;84.8;145.9;572.0;100.0;34.8;12.9;3753.0;430.76;5461.0;275232.0;3885.0;28.29
